İl,İlçe,Alan (m2),Oda Sayısı,Bina Yaşı,Kat,Isıtma,Balkon,Asansör,Eşyalı mı?,Fiyat (TL)
Adana,Aladağ,91,2+1,30,5,Kombi,Yok,Yok,Evet,81900
Adana,Aladağ,93,3+1,28,18,Soba,Yok,Yok,Evet,83700
Adana,Aladağ,145,1+1,25,11,Kombi,Var,Var,Hayır,130500
Adana,Aladağ,96,3+1,21,13,Kombi,Var,Yok,Hayır,86400
Adana,Aladağ,104,4+1,5,20,Soba,Yok,Var,Evet,104000
Adana,Aladağ,109,1+1,28,0,Kombi,Yok,Var,Evet,98100
Adana,Aladağ,177,1+1,22,16,Kombi,Var,Yok,Hayır,159300
Adana,Aladağ,107,4+1,15,17,Merkezi,Var,Yok,Hayır,107000
Adana,Aladağ,134,4+1,1,11,Soba,Var,Var,Hayır,134000
Adana,Aladağ,118,2+1,4,9,Soba,Yok,Var,Hayır,118000
Adana,Ceyhan,133,2+1,1,16,Kombi,Var,Yok,Evet,133000
Adana,Ceyhan,138,2+1,22,3,Soba,Var,Yok,Hayır,124200
Adana,Ceyhan,69,2+1,13,17,Soba,Var,Var,Evet,69000
Adana,Ceyhan,157,2+1,1,18,Merkezi,Yok,Yok,Hayır,157000
Adana,Ceyhan,72,3+1,16,12,Soba,Yok,Var,Evet,72000
Adana,Ceyhan,113,4+1,4,13,Soba,Var,Yok,Hayır,113000
Adana,Ceyhan,116,4+1,11,6,Merkezi,Yok,Yok,Hayır,116000
Adana,Ceyhan,151,2+1,22,13,Soba,Yok,Var,Evet,135900
Adana,Ceyhan,69,3+1,19,13,Soba,Var,Yok,Hayır,69000
Adana,Ceyhan,69,1+1,2,3,Merkezi,Var,Var,Evet,69000
Adana,Feke,132,3+1,13,13,Kombi,Var,Yok,Evet,132000
Adana,Feke,112,1+1,23,11,Merkezi,Yok,Var,Evet,100800
Adana,Feke,159,4+1,11,5,Soba,Yok,Yok,Hayır,159000
Adana,Feke,96,1+1,17,19,Merkezi,Yok,Yok,Evet,96000
Adana,Feke,179,4+1,3,13,Kombi,Var,Yok,Evet,179000
Adana,Feke,150,2+1,15,7,Merkezi,Yok,Yok,Evet,150000
Adana,Feke,162,4+1,7,13,Soba,Yok,Yok,Hayır,162000
Adana,Feke,178,1+1,27,6,Kombi,Var,Yok,Evet,160200
Adana,Feke,130,3+1,7,8,Merkezi,Yok,Yok,Hayır,130000
Adana,Feke,152,4+1,6,12,Soba,Yok,Yok,Hayır,152000
Adana,Karaisalı,176,4+1,20,13,Merkezi,Yok,Var,Hayır,176000
Adana,Karaisalı,65,2+1,30,19,Kombi,Var,Yok,Evet,58500
